"TIP.STAVBE";"Leto";"Ajdovšèina";"Ankaran/Ancarano";"Apaèe";"Beltinci";"Benedikt";"Bistrica ob Sotli";"Bled";"Bloke";"Bohinj";"Borovnica";"Bovec";"Braslovèe";"Brda";"Brezovica";"Brežice";"Cankova";"Celje";"Cerklje na Gorenjskem";"Cerknica";"Cerkno";"Cerkvenjak";"Cirkulane";"Èrenšovci";"Èrna na Koroškem";"Èrnomelj";"Destrnik";"Divaèa";"Dobje";"Dobrepolje";"Dobrna";"Dobrova - Polhov Gradec";"Dobrovnik/Dobronak";"Dol pri Ljubljani";"Dolenjske Toplice";"Domžale";"Dornava";"Dravograd";"Duplek";"Gorenja vas - Poljane";"Gorišnica";"Gorje";"Gornja Radgona";"Gornji Grad";"Gornji Petrovci";"Grad";"Grosuplje";"Hajdina";"Hoèe - Slivnica";"Hodoš/Hodos";"Horjul";"Hrastnik";"Hrpelje - Kozina";"Idrija";"Ig";"Ilirska Bistrica";"Ivanèna Gorica";"Izola/Isola";"Jesenice";"Jezersko";"Juršinci";"Kamnik";"Kanal";"Kidrièevo";"Kobarid";"Kobilje";"Koèevje";"Komen";"Komenda";"Koper/Capodistria";"Kostanjevica na Krki";"Kostel";"Kozje";"Kranj";"Kranjska Gora";"Križevci";"Krško";"Kungota";"Kuzma";"Laško";"Lenart";"Lendava/Lendva";"Litija";"Ljubljana";"Ljubno";"Ljutomer";"Log - Dragomer";"Logatec";"Loška dolina";"Loški Potok";"Lovrenc na Pohorju";"Luèe";"Lukovica";"Majšperk";"Makole";"Maribor";"Markovci";"Medvode";"Mengeš";"Metlika";"Mežica";"Miklavž na Dravskem polju";"Miren - Kostanjevica";"Mirna";"Mirna Peè";"Mislinja";"Mokronog - Trebelno";"Moravèe";"Moravske Toplice";"Mozirje";"Murska Sobota";"Muta";"Naklo";"Nazarje";"Nova Gorica";"Novo mesto";"Odranci";"Oplotnica";"Ormož";"Osilnica";"Pesnica";"Piran/Pirano";"Pivka";"Podèetrtek";"Podlehnik";"Podvelka";"Poljèane";"Polzela";"Postojna";"Prebold";"Preddvor";"Prevalje";"Ptuj";"Puconci";"Raèe - Fram";"Radeèe";"Radenci";"Radlje ob Dravi";"Radovljica";"Ravne na Koroškem";"Razkrižje";"Reèica ob Savinji";"Renèe - Vogrsko";"Ribnica";"Ribnica na Pohorju";"Rogaška Slatina";"Rogašovci";"Rogatec";"Ruše";"Selnica ob Dravi";"Semiè";"Sevnica";"Sežana";"Slovenj Gradec";"Slovenska Bistrica";"Slovenske Konjice";"Sodražica";"Solèava";"Središèe ob Dravi";"Starše";"Straža";"Sveta Ana";"Sveta Trojica v Slov. goricah";"Sveti Andraž v Slov. goricah";"Sveti Jurij ob Šèavnici";"Sveti Jurij v Slov. goricah";"Sveti Tomaž";"Šalovci";"Šempeter - Vrtojba";"Šenèur";"Šentilj";"Šentjernej";"Šentjur";"Šentrupert";"Škocjan";"Škofja Loka";"Škofljica";"Šmarje pri Jelšah";"Šmarješke Toplice";"Šmartno ob Paki";"Šmartno pri Litiji";"Šoštanj";"Štore";"Tabor";"Tišina";"Tolmin";"Trbovlje";"Trebnje";"Trnovska vas";"Trzin";"Tržiè";"Turnišèe";"Velenje";"Velika Polana";"Velike Lašèe";"Veržej";"Videm";"Vipava";"Vitanje";"Vodice";"Vojnik";"Vransko";"Vrhnika";"Vuzenica";"Zagorje ob Savi";"Zavrè";"Zreèe";"Žalec";"Železniki";"Žetale";"Žiri";"Žirovnica";"Žužemberk"
"Stanovanjske stavbe";"2007";52;NA;10;16;11;3;21;6;13;9;11;24;23;36;51;3;59;25;30;5;8;4;16;2;25;3;16;3;19;5;8;2;13;4;52;6;15;30;22;5;5;20;6;6;5;57;3;86;0;1;9;30;13;25;25;97;19;28;1;7;39;11;7;9;0;31;12;50;137;5;4;12;91;23;6;39;22;2;13;23;21;54;205;4;25;7;45;6;7;5;2;11;9;3;164;4;66;8;8;0;31;29;NA;3;7;5;20;26;6;22;7;12;3;47;107;3;11;28;1;24;41;18;11;2;5;16;44;43;15;9;7;26;20;42;6;8;13;62;11;9;1;10;18;2;22;6;7;43;16;6;35;50;39;122;46;11;0;0;15;6;8;9;0;11;7;5;4;8;24;39;9;64;3;9;77;51;31;12;15;15;20;6;16;17;14;8;66;0;2;18;7;41;3;9;1;8;13;3;46;41;22;92;5;22;0;15;26;17;0;15;22;7
"Stanovanjske stavbe";"2008";55;NA;11;19;12;4;2;7;6;10;8;13;16;31;60;2;58;32;32;11;11;3;16;5;28;9;13;2;20;9;7;0;34;5;32;9;17;46;30;7;9;29;7;10;6;68;6;58;2;3;8;21;24;12;15;80;17;19;0;6;37;4;13;13;0;25;13;80;113;7;5;15;75;38;12;62;40;5;18;23;14;39;149;5;27;11;49;1;4;7;1;5;5;6;115;5;71;8;23;0;30;14;NA;3;32;10;6;13;13;30;9;11;1;45;21;2;17;18;1;19;26;26;21;1;3;12;22;35;18;10;12;25;14;36;3;10;11;45;7;3;3;30;16;0;26;6;6;32;17;7;61;37;27;105;49;5;1;3;16;0;9;8;8;7;8;6;8;11;25;35;9;53;5;2;62;20;37;5;23;22;29;5;29;8;17;6;52;5;3;13;3;20;5;4;3;29;7;5;33;58;3;45;3;23;2;12;29;12;1;22;10;9
"Stanovanjske stavbe";"2009";45;NA;22;11;6;1;9;8;7;22;8;15;12;31;74;5;27;25;27;6;12;1;12;0;13;6;6;1;10;3;9;1;20;6;21;7;8;31;22;1;4;35;4;1;4;49;5;30;0;4;7;17;9;27;23;62;21;20;2;3;79;8;8;11;0;20;11;13;110;11;3;9;116;13;5;38;19;5;12;16;28;65;147;0;11;3;42;4;3;8;1;4;3;6;77;8;48;4;15;1;17;22;NA;1;6;11;12;11;5;32;1;7;2;67;23;4;20;33;2;16;17;13;17;1;2;11;14;54;7;10;6;14;10;35;5;16;16;21;12;3;0;10;17;4;47;3;2;12;6;8;30;35;16;85;48;7;0;2;7;3;10;8;0;9;7;7;2;10;16;36;7;55;7;4;79;23;28;3;15;18;20;6;10;8;11;5;38;5;5;18;10;40;2;5;2;8;18;8;20;25;6;43;2;13;2;10;20;13;1;20;12;3
"Stanovanjske stavbe";"2010";33;NA;12;15;9;2;4;5;12;3;8;18;10;22;50;4;21;10;23;1;11;0;12;2;23;3;10;5;6;4;12;3;10;7;43;0;13;15;15;3;3;23;5;4;4;41;6;53;1;2;5;12;9;6;22;48;10;13;1;1;55;7;2;11;2;8;3;27;58;5;2;14;39;10;9;38;40;3;22;31;21;36;90;5;18;5;32;12;4;6;1;8;1;3;62;2;34;0;12;2;33;12;NA;8;6;7;11;14;8;20;3;2;4;33;40;2;13;29;2;16;15;14;27;1;2;11;10;46;8;6;7;15;15;24;5;17;12;26;12;3;3;7;12;1;42;6;5;13;9;3;36;34;25;61;25;3;0;0;6;2;13;6;0;7;11;3;0;2;15;30;15;46;8;5;32;9;34;3;16;8;11;4;1;9;9;4;32;3;2;10;8;21;5;3;6;3;28;1;8;18;4;37;4;10;2;7;19;10;0;13;11;4
"Stanovanjske stavbe";"2011";52;NA;7;19;7;5;13;1;10;11;4;19;7;8;18;0;18;12;25;3;4;2;9;4;14;2;10;1;8;3;6;2;5;1;38;5;21;11;32;1;1;14;0;4;3;29;5;39;0;0;12;3;14;5;11;39;14;9;0;2;32;3;2;8;1;19;5;11;61;5;8;6;25;5;6;38;21;4;13;12;13;37;95;3;20;3;38;1;5;1;1;8;4;9;50;5;30;6;11;1;29;6;NA;1;6;5;8;14;4;16;6;5;4;23;39;4;11;23;0;10;19;15;8;1;3;8;10;18;6;4;6;12;6;105;4;4;5;33;7;1;5;7;27;0;41;7;1;13;13;10;29;18;14;64;30;5;1;2;9;3;8;7;2;10;10;3;1;5;9;13;20;37;5;4;42;23;29;6;6;19;17;3;5;8;20;1;21;1;2;12;7;32;3;6;3;2;13;3;20;11;3;45;1;11;1;24;19;4;0;16;10;10
"Stanovanjske stavbe";"2012";40;NA;5;14;3;8;14;3;5;7;4;12;13;26;28;3;13;7;17;5;4;1;9;4;11;2;8;3;5;1;6;0;6;4;30;3;16;14;10;1;8;17;1;6;2;19;4;38;0;3;2;6;18;12;19;40;9;8;1;1;27;3;2;15;1;21;6;12;25;4;2;5;33;13;2;20;11;6;18;24;13;26;105;4;14;1;38;7;8;9;2;8;1;3;54;1;22;9;18;0;6;6;4;8;8;6;5;5;15;5;4;8;2;28;49;1;7;21;0;9;17;13;23;1;2;4;9;15;5;4;2;13;7;19;8;4;14;24;6;0;3;6;18;3;21;6;4;10;5;3;28;20;21;55;36;5;0;1;7;1;4;7;1;3;5;6;2;4;14;18;17;31;12;11;44;17;28;3;12;6;14;1;3;5;8;4;21;1;5;20;9;9;3;7;4;4;10;4;14;8;9;65;3;19;1;11;11;9;0;16;8;12
"Stanovanjske stavbe";"2013";29;NA;9;5;16;4;13;4;9;7;11;14;10;20;23;3;22;13;11;13;8;3;14;6;15;6;3;3;11;4;27;1;2;3;28;7;9;13;19;11;1;16;2;2;10;39;3;17;0;1;3;13;10;18;12;42;5;8;2;9;31;5;8;13;5;13;5;24;47;3;1;10;31;4;4;33;9;6;33;21;23;38;139;3;15;5;29;3;3;5;2;8;5;5;56;8;27;8;15;1;9;7;6;4;1;6;5;9;7;5;5;12;2;41;35;6;16;35;0;16;12;7;4;4;0;5;12;17;7;2;2;14;9;23;4;6;9;23;11;1;2;4;11;1;19;9;6;6;13;6;35;14;20;52;25;5;1;4;7;5;9;4;2;10;4;3;0;7;13;17;25;37;6;6;31;16;16;10;5;7;17;7;2;7;22;3;33;3;6;15;5;17;2;11;2;6;12;0;9;9;3;40;10;17;2;15;18;7;5;12;7;7
"Stanovanjske stavbe";"2014";30;NA;10;13;10;1;6;2;5;6;2;5;7;9;34;1;13;7;18;13;7;3;1;2;14;5;2;3;4;3;8;6;7;5;18;11;7;5;5;10;3;13;0;3;7;30;6;12;1;6;5;1;14;14;11;52;5;12;1;6;31;7;1;4;1;15;1;10;35;4;0;6;26;10;6;46;4;5;12;20;11;15;114;3;14;7;19;4;2;7;4;13;13;8;87;9;25;22;12;1;11;15;7;6;4;20;4;9;11;11;10;6;1;25;40;5;6;33;1;11;14;4;6;3;1;2;10;14;9;7;14;26;7;12;2;6;10;23;14;1;4;6;8;2;28;7;2;2;10;4;38;11;18;38;19;6;1;5;11;12;8;5;2;9;3;5;5;4;10;9;24;42;18;7;30;18;8;13;6;12;10;1;2;10;16;8;34;2;0;7;5;16;4;9;3;15;8;1;11;18;4;37;3;13;1;4;29;10;4;12;4;13
"Stanovanjske stavbe";"2015";38;3;12;23;13;0;12;0;9;2;6;16;10;10;24;1;17;18;21;10;5;16;9;3;12;8;2;1;4;4;9;5;5;8;27;7;10;9;10;4;6;16;3;4;2;25;7;25;0;5;8;6;21;16;27;35;16;6;1;9;32;4;7;5;1;6;1;9;45;6;1;2;32;11;4;49;4;7;8;11;10;22;75;3;19;12;20;5;1;3;5;8;13;4;59;4;17;18;7;2;7;9;14;8;3;15;13;10;3;27;3;7;3;35;52;4;5;19;0;8;17;7;9;16;0;5;10;22;7;13;5;32;8;13;1;10;2;23;16;1;1;13;14;3;25;6;3;14;6;7;30;27;12;26;14;1;2;2;8;9;8;13;2;10;4;5;3;7;6;9;28;52;19;9;37;8;19;14;18;8;15;1;2;2;7;6;32;6;4;10;3;17;5;8;1;10;15;2;19;15;5;15;4;8;3;7;20;6;5;10;2;19
"Stanovanjske stavbe";"2016";31;1;10;22;15;1;10;3;7;6;4;18;10;29;43;2;19;11;24;4;12;8;4;3;15;9;4;2;9;2;16;1;34;8;37;3;8;11;23;15;1;11;1;4;4;22;12;24;0;2;4;14;11;21;9;22;8;7;1;9;42;6;19;2;1;19;5;11;31;2;2;0;44;4;6;42;6;8;16;13;12;20;137;2;11;4;8;5;2;4;1;18;5;2;92;4;28;12;2;6;15;8;3;9;4;8;9;22;12;24;5;7;6;23;26;4;3;17;1;11;16;8;8;4;2;2;10;16;10;15;11;46;14;17;3;10;3;22;15;5;3;5;12;0;29;8;8;5;2;5;20;27;8;54;20;7;0;2;9;7;13;9;6;5;3;4;6;6;11;10;19;31;4;9;25;16;21;5;6;10;6;3;1;9;13;4;27;9;8;6;3;24;4;7;6;22;8;3;15;20;3;93;5;11;6;4;17;7;3;9;8;14
"Stanovanjske stavbe";"2017";33;1;11;15;14;1;8;1;11;6;3;19;11;29;39;6;18;20;14;5;5;4;6;3;16;8;6;3;3;6;19;6;9;9;52;5;7;11;14;16;2;19;4;4;5;36;8;32;0;4;7;9;14;21;6;29;13;9;2;5;42;3;12;6;0;15;5;6;47;10;0;4;27;8;7;40;9;2;7;17;8;19;161;10;12;6;25;3;2;1;2;13;12;0;105;8;25;15;7;3;10;4;3;5;4;11;9;25;5;20;5;9;3;14;38;4;9;19;0;37;9;10;8;4;1;6;32;18;11;9;7;48;13;44;3;5;8;30;8;1;2;4;16;2;37;7;3;1;5;7;19;22;22;57;18;5;1;2;9;11;7;31;4;7;3;7;2;7;14;16;23;32;5;9;33;11;19;5;6;3;5;5;4;10;9;8;29;1;6;11;6;14;3;7;6;20;9;2;17;22;9;33;3;3;7;5;14;11;3;6;5;11
