"TIP.STAVBE";"Leto";"Ajdovšèina";"Ankaran/Ancarano";"Apaèe";"Beltinci";"Benedikt";"Bistrica ob Sotli";"Bled";"Bloke";"Bohinj";"Borovnica";"Bovec";"Braslovèe";"Brda";"Brezovica";"Brežice";"Cankova";"Celje";"Cerklje na Gorenjskem";"Cerknica";"Cerkno";"Cerkvenjak";"Cirkulane";"Èrenšovci";"Èrna na Koroškem";"Èrnomelj";"Destrnik";"Divaèa";"Dobje";"Dobrepolje";"Dobrna";"Dobrova - Polhov Gradec";"Dobrovnik/Dobronak";"Dol pri Ljubljani";"Dolenjske Toplice";"Domžale";"Dornava";"Dravograd";"Duplek";"Gorenja vas - Poljane";"Gorišnica";"Gorje";"Gornja Radgona";"Gornji Grad";"Gornji Petrovci";"Grad";"Grosuplje";"Hajdina";"Hoèe - Slivnica";"Hodoš/Hodos";"Horjul";"Hrastnik";"Hrpelje - Kozina";"Idrija";"Ig";"Ilirska Bistrica";"Ivanèna Gorica";"Izola/Isola";"Jesenice";"Jezersko";"Juršinci";"Kamnik";"Kanal";"Kidrièevo";"Kobarid";"Kobilje";"Koèevje";"Komen";"Komenda";"Koper/Capodistria";"Kostanjevica na Krki";"Kostel";"Kozje";"Kranj";"Kranjska Gora";"Križevci";"Krško";"Kungota";"Kuzma";"Laško";"Lenart";"Lendava/Lendva";"Litija";"Ljubljana";"Ljubno";"Ljutomer";"Log - Dragomer";"Logatec";"Loška dolina";"Loški Potok";"Lovrenc na Pohorju";"Luèe";"Lukovica";"Majšperk";"Makole";"Maribor";"Markovci";"Medvode";"Mengeš";"Metlika";"Mežica";"Miklavž na Dravskem polju";"Miren - Kostanjevica";"Mirna";"Mirna Peè";"Mislinja";"Mokronog - Trebelno";"Moravèe";"Moravske Toplice";"Mozirje";"Murska Sobota";"Muta";"Naklo";"Nazarje";"Nova Gorica";"Novo mesto";"Odranci";"Oplotnica";"Ormož";"Osilnica";"Pesnica";"Piran/Pirano";"Pivka";"Podèetrtek";"Podlehnik";"Podvelka";"Poljèane";"Polzela";"Postojna";"Prebold";"Preddvor";"Prevalje";"Ptuj";"Puconci";"Raèe - Fram";"Radeèe";"Radenci";"Radlje ob Dravi";"Radovljica";"Ravne na Koroškem";"Razkrižje";"Reèica ob Savinji";"Renèe - Vogrsko";"Ribnica";"Ribnica na Pohorju";"Rogaška Slatina";"Rogašovci";"Rogatec";"Ruše";"Selnica ob Dravi";"Semiè";"Sevnica";"Sežana";"Slovenj Gradec";"Slovenska Bistrica";"Slovenske Konjice";"Sodražica";"Solèava";"Središèe ob Dravi";"Starše";"Straža";"Sveta Ana";"Sveta Trojica v Slov. goricah";"Sveti Andraž v Slov. goricah";"Sveti Jurij ob Šèavnici";"Sveti Jurij v Slov. goricah";"Sveti Tomaž";"Šalovci";"Šempeter - Vrtojba";"Šenèur";"Šentilj";"Šentjernej";"Šentjur";"Šentrupert";"Škocjan";"Škofja Loka";"Škofljica";"Šmarje pri Jelšah";"Šmarješke Toplice";"Šmartno ob Paki";"Šmartno pri Litiji";"Šoštanj";"Štore";"Tabor";"Tišina";"Tolmin";"Trbovlje";"Trebnje";"Trnovska vas";"Trzin";"Tržiè";"Turnišèe";"Velenje";"Velika Polana";"Velike Lašèe";"Veržej";"Videm";"Vipava";"Vitanje";"Vodice";"Vojnik";"Vransko";"Vrhnika";"Vuzenica";"Zagorje ob Savi";"Zavrè";"Zreèe";"Žalec";"Železniki";"Žetale";"Žiri";"Žirovnica";"Žužemberk"
"Stanovanjske stavbe";"2018";42;0;15;25;7;4;18;7;15;0;5;22;22;23;35;2;31;14;15;8;8;4;12;0;13;12;5;0;4;3;11;2;10;5;33;5;7;22;16;12;5;26;2;7;4;32;4;56;0;9;7;11;13;21;11;44;8;7;2;5;31;2;15;5;2;7;2;10;45;1;1;1;50;12;12;33;12;8;12;14;9;24;193;4;12;7;35;5;1;2;5;14;6;4;96;11;11;14;10;3;20;4;8;12;10;3;13;16;12;17;4;14;4;20;49;4;10;17;0;16;13;3;17;2;1;11;20;13;13;6;6;55;22;40;3;16;12;35;9;0;3;12;22;3;29;4;8;1;3;7;37;19;17;43;29;4;2;3;13;2;9;11;6;4;8;3;2;6;13;19;15;33;6;7;41;5;30;5;3;6;10;5;1;7;11;4;28;5;0;7;5;28;2;6;5;15;6;3;5;13;4;28;5;10;4;6;22;7;3;8;7;12
"Stanovanjske stavbe";"2019";38;0;9;24;15;4;11;3;4;2;4;10;8;12;38;1;24;16;7;5;4;9;10;1;10;8;6;2;2;2;12;3;4;6;48;1;5;13;12;5;2;17;2;1;3;33;13;21;0;11;2;12;17;11;2;30;13;8;2;5;34;5;13;4;2;12;4;9;45;4;1;4;49;10;7;25;18;1;6;20;6;7;168;2;13;3;27;1;3;1;2;17;5;4;106;10;24;12;13;0;21;14;4;8;5;7;9;21;7;20;8;7;2;31;81;2;3;17;0;12;13;5;7;2;0;6;8;10;9;12;10;39;15;23;2;4;9;25;5;1;1;12;14;1;58;6;4;6;7;8;15;10;22;77;21;3;2;0;11;7;9;12;3;8;9;3;1;1;10;19;15;38;6;7;25;19;14;3;13;5;8;4;5;10;5;1;31;4;3;3;5;25;0;14;2;22;7;0;16;18;3;26;1;7;2;9;26;8;0;4;9;5
"Stanovanjske stavbe";"2020";42;0;5;17;13;0;10;1;9;5;7;17;8;14;48;4;30;11;11;3;8;5;13;4;11;7;3;2;4;0;16;3;11;7;54;3;8;12;9;8;4;12;4;7;3;40;16;32;0;2;6;31;6;14;6;41;6;7;0;2;33;0;16;2;1;17;9;25;36;1;1;4;54;10;8;22;10;2;5;19;11;21;163;1;17;7;40;1;2;0;2;7;6;4;125;8;11;10;9;1;35;10;5;8;2;8;3;15;16;20;3;8;8;16;40;6;5;12;0;16;3;5;6;3;1;4;16;13;15;8;6;44;13;39;3;6;7;28;10;3;1;2;9;1;23;7;4;5;0;2;18;7;29;50;20;5;2;3;13;11;4;21;2;11;8;3;0;0;11;19;18;28;4;14;15;6;21;2;6;2;12;0;8;2;11;8;37;6;2;5;2;29;1;12;6;16;5;1;10;9;3;32;2;5;0;11;36;6;1;7;8;11
"Nestanovanjske stavbe";"2007";19;NA;3;4;3;1;6;8;3;1;9;2;9;4;33;3;21;6;18;4;3;0;4;6;16;1;4;0;2;4;0;4;0;4;8;1;11;3;7;3;1;11;1;3;3;7;3;19;0;0;0;10;12;2;6;8;7;7;0;0;8;1;7;4;2;10;2;8;8;3;1;3;20;18;4;38;6;4;14;15;15;7;32;0;12;2;27;3;0;0;0;4;2;4;52;2;11;2;13;3;2;0;NA;0;2;8;0;5;2;11;4;4;1;18;15;2;7;10;0;8;16;4;9;1;2;5;3;12;3;3;4;10;6;12;3;2;8;12;8;2;1;2;8;2;14;2;2;1;5;20;26;9;19;27;17;4;0;2;2;7;3;3;0;5;1;0;3;4;5;4;9;13;5;4;13;0;14;6;0;2;1;0;1;4;11;10;28;0;1;1;2;3;2;0;3;0;4;3;1;5;3;6;4;6;0;8;8;1;2;3;0;7
"Nestanovanjske stavbe";"2008";9;NA;3;6;2;1;7;1;12;1;2;0;11;4;42;1;15;4;13;7;3;3;3;1;30;1;2;2;4;0;0;6;2;4;4;0;7;3;5;5;0;16;1;4;2;10;2;13;0;0;1;2;10;2;9;11;3;5;1;1;12;2;1;1;0;6;3;4;17;2;1;1;12;14;1;37;8;1;11;7;17;3;27;3;14;3;25;5;1;1;1;0;1;1;31;1;12;0;10;1;2;0;NA;5;1;11;3;9;0;12;6;1;2;14;15;0;4;9;0;4;5;3;11;1;1;6;4;13;1;1;4;7;6;2;2;4;8;6;6;0;0;2;9;0;19;1;6;6;5;11;32;10;12;36;18;2;0;0;2;2;8;1;1;3;1;1;1;6;8;5;5;12;7;3;19;0;11;4;1;1;2;0;0;3;9;5;30;1;1;0;2;8;0;0;1;2;4;2;1;5;1;5;0;1;1;5;6;3;1;6;0;6
"Nestanovanjske stavbe";"2009";22;NA;8;1;1;3;1;0;2;1;8;2;8;5;35;4;3;3;7;2;2;0;5;2;13;1;4;0;4;0;1;6;3;1;5;3;10;9;13;2;3;14;0;1;2;11;0;2;1;0;1;2;8;3;18;7;0;5;0;1;11;1;0;4;0;3;1;6;8;3;2;3;14;7;3;40;4;3;6;9;18;10;21;0;9;2;13;2;1;1;1;1;1;0;21;1;2;3;9;1;2;2;NA;2;3;10;1;6;3;7;4;7;1;15;10;0;2;5;1;7;2;3;8;0;0;6;2;12;1;0;2;1;2;2;2;3;9;4;10;1;1;1;8;5;12;4;3;2;6;9;30;10;7;26;7;0;0;2;2;0;2;5;0;4;1;1;0;8;1;0;7;12;8;4;13;1;11;2;1;2;3;0;0;4;8;5;53;1;1;1;2;10;3;0;0;1;9;3;1;1;2;5;0;4;1;5;2;3;1;2;3;2
"Nestanovanjske stavbe";"2010";15;NA;3;3;3;3;2;1;4;0;2;2;10;0;32;1;1;4;5;1;3;2;2;2;16;0;2;1;2;1;1;8;0;1;3;0;10;2;10;1;1;14;1;1;2;7;1;3;0;0;3;4;4;0;7;22;3;7;0;0;13;1;3;10;3;6;0;12;15;2;0;3;9;2;2;24;5;0;9;17;14;11;21;3;6;3;10;0;2;3;5;1;1;2;23;0;1;1;16;0;2;3;NA;4;2;7;2;7;0;10;3;2;3;10;31;4;2;12;0;4;2;5;12;0;4;3;1;12;2;1;4;4;4;1;5;2;10;4;3;0;2;1;13;1;12;3;5;3;2;8;33;5;11;14;7;3;0;0;3;2;6;3;0;6;3;3;0;3;4;3;13;12;10;2;18;2;10;8;0;4;0;0;0;8;3;6;34;0;1;0;2;6;0;1;1;0;3;4;0;6;1;5;0;9;0;1;4;4;0;2;1;7
"Nestanovanjske stavbe";"2011";27;NA;4;8;5;2;2;1;6;0;7;4;9;1;26;2;0;4;6;0;6;0;3;3;32;0;1;3;1;0;0;2;0;0;7;0;9;2;7;2;0;3;2;1;1;14;0;5;0;1;3;0;3;2;5;6;4;2;1;0;9;1;3;8;2;9;0;7;8;6;1;6;9;3;2;34;3;1;6;5;14;10;22;1;6;0;9;1;5;0;1;0;4;3;22;6;2;0;17;0;2;3;NA;1;3;7;0;4;1;5;3;1;3;10;16;0;5;14;0;1;0;6;6;0;1;2;4;8;0;0;4;7;5;4;4;3;6;5;12;0;0;0;11;0;5;3;3;3;3;9;32;2;6;19;10;5;2;1;2;6;5;4;0;5;2;4;3;1;1;0;15;13;8;3;17;1;11;3;0;1;1;0;0;0;9;1;46;1;0;0;4;8;1;2;1;0;10;1;2;0;2;4;0;4;0;7;4;5;0;5;2;6
"Nestanovanjske stavbe";"2012";11;NA;6;4;3;4;0;1;6;0;4;0;7;3;16;1;0;1;4;3;3;0;4;3;21;1;2;0;4;0;0;4;3;2;1;2;7;4;6;0;1;10;1;0;2;11;1;5;0;0;2;1;6;1;6;13;1;4;0;0;17;1;3;6;1;7;3;13;2;9;1;2;9;2;4;13;3;2;5;11;10;6;22;3;6;0;9;0;0;7;0;0;1;1;19;0;1;0;13;3;2;0;3;4;4;6;1;7;0;3;3;2;2;5;21;3;4;14;0;2;2;9;8;0;1;4;0;3;2;1;2;4;3;5;2;1;7;9;9;0;2;0;3;0;21;2;0;2;2;2;17;5;6;18;13;4;0;3;1;4;4;1;0;4;0;0;0;2;2;1;7;11;10;6;5;0;10;4;0;0;2;0;0;5;8;3;29;0;0;0;0;3;1;0;1;1;4;0;1;0;0;2;1;0;2;2;2;2;0;6;1;3
"Nestanovanjske stavbe";"2013";23;NA;2;4;4;2;1;0;3;2;1;8;4;0;16;3;2;4;7;3;3;0;1;3;14;1;0;2;0;0;1;1;1;2;4;0;3;2;7;3;0;3;0;1;3;16;1;6;0;1;8;2;9;1;3;13;0;5;0;0;7;0;2;8;0;5;1;12;7;1;0;10;10;0;3;14;2;1;8;14;7;10;19;4;7;2;16;3;2;0;0;1;0;3;20;3;2;1;16;2;4;1;4;4;1;11;0;3;0;9;2;2;0;3;13;2;6;14;1;4;2;9;5;0;3;2;1;7;2;4;3;4;6;5;0;3;6;1;5;0;0;2;10;0;10;1;0;6;1;10;19;3;3;23;12;2;0;2;2;5;7;2;0;2;1;0;2;0;4;2;8;9;15;8;5;0;9;4;0;5;5;0;0;3;15;2;29;0;0;0;5;5;1;1;1;1;5;3;1;1;0;4;2;7;0;1;7;6;3;3;2;3
"Nestanovanjske stavbe";"2014";11;NA;3;5;3;0;0;2;1;1;8;2;3;3;19;1;0;1;6;6;0;0;0;3;14;1;0;2;3;0;3;1;1;2;0;1;1;5;2;2;0;0;0;0;2;5;1;5;0;1;1;0;9;1;11;15;1;4;1;0;4;1;1;1;0;9;0;5;8;2;0;1;6;2;0;9;4;1;2;10;6;7;20;2;8;3;3;3;0;2;0;1;1;1;28;7;5;0;5;3;0;1;4;0;2;10;0;3;0;8;4;2;4;2;39;6;0;17;0;4;1;2;4;0;2;3;3;12;4;1;8;4;6;8;0;5;6;0;2;0;0;0;11;1;7;3;1;1;0;9;24;1;4;11;6;1;1;1;4;4;3;1;0;3;3;1;0;0;3;3;29;12;9;7;8;0;7;11;3;1;1;0;0;3;10;0;22;1;0;3;1;3;0;1;0;2;7;1;0;0;1;3;3;2;1;2;11;3;2;1;3;5
"Nestanovanjske stavbe";"2015";49;0;17;25;2;5;3;0;6;0;14;4;15;2;77;3;2;3;4;9;0;5;19;1;9;0;1;2;4;0;1;10;0;16;1;1;29;1;6;3;1;52;4;6;3;4;1;4;1;0;5;2;10;2;44;12;0;8;1;3;7;18;4;15;1;39;0;6;6;17;6;15;6;3;15;193;4;4;6;15;51;20;15;5;35;4;9;2;8;0;1;0;5;8;23;0;2;0;27;2;3;17;2;15;8;8;0;20;14;24;3;1;15;46;121;8;17;60;2;3;4;20;18;4;0;13;3;43;0;0;2;9;19;3;2;20;2;4;10;10;1;8;49;0;35;10;17;4;2;10;8;3;27;108;6;15;3;10;1;19;2;2;0;20;0;13;2;12;1;5;37;17;9;21;6;0;63;33;20;20;30;0;1;6;42;11;19;1;0;13;18;53;8;3;6;3;18;3;0;1;3;3;2;12;0;3;12;6;1;3;2;29
"Nestanovanjske stavbe";"2016";66;1;29;40;17;2;8;6;11;4;12;3;10;5;142;7;29;6;43;17;21;9;29;4;32;19;11;6;6;0;9;13;0;18;17;15;49;25;13;14;1;66;9;6;3;37;6;27;2;3;7;8;28;13;46;63;3;8;1;7;28;16;36;19;1;34;8;14;26;8;2;14;15;4;21;75;3;2;73;40;52;30;68;11;61;2;11;13;11;5;7;2;9;7;64;9;10;3;33;0;4;19;7;15;10;5;4;18;14;36;20;6;7;37;118;10;16;59;0;9;5;15;27;8;10;11;1;44;2;1;6;63;29;13;8;36;36;17;8;3;10;6;33;5;45;12;9;5;8;23;129;20;42;124;63;13;2;12;6;14;31;9;11;31;12;6;3;8;3;5;59;46;4;30;25;0;71;35;17;11;60;3;1;9;38;7;14;1;1;16;15;77;5;0;7;19;23;17;7;12;1;14;2;7;6;24;15;10;2;7;11;47
"Nestanovanjske stavbe";"2017";60;1;30;33;11;10;2;12;17;1;6;5;9;5;102;8;28;2;39;21;19;4;32;3;40;8;21;4;17;3;9;12;1;14;4;11;20;16;24;6;2;82;0;8;8;46;2;38;0;5;2;11;26;7;33;66;3;14;0;0;30;10;33;9;6;41;13;27;14;3;4;17;7;9;33;59;2;0;50;41;51;19;67;16;50;0;18;11;9;3;9;0;6;8;58;12;14;4;28;2;12;15;9;9;9;13;2;38;16;35;15;5;13;37;118;6;15;70;0;5;2;15;24;5;14;8;3;47;4;0;3;28;25;22;6;34;26;15;9;2;11;5;48;11;45;10;12;7;7;28;137;34;21;115;48;16;1;13;7;25;29;11;4;28;15;6;4;4;3;2;50;38;4;35;20;5;77;22;25;8;37;9;1;13;19;1;35;3;4;8;22;83;15;3;9;6;14;4;3;24;1;13;17;2;4;22;16;16;1;8;4;33
"Nestanovanjske stavbe";"2018";36;0;15;26;20;2;15;3;20;0;4;4;20;8;58;9;59;11;34;11;16;2;26;1;35;1;4;5;8;6;2;7;4;18;12;10;40;23;9;7;3;46;6;22;7;32;4;35;1;6;6;9;11;7;27;63;0;14;1;2;11;16;18;14;0;40;4;17;12;6;3;9;10;14;18;56;2;3;63;50;56;24;42;6;31;7;11;23;8;2;8;2;3;14;62;17;5;9;34;3;6;10;14;25;11;23;4;39;19;33;19;2;9;13;123;8;20;71;0;12;4;15;24;0;3;13;1;24;1;1;1;22;25;24;8;24;21;20;6;4;10;8;35;7;33;8;3;6;6;23;174;20;47;106;50;12;2;12;5;8;18;16;3;35;5;3;8;2;3;2;34;38;18;29;22;2;66;25;15;11;47;9;2;16;18;1;66;1;0;10;7;95;5;2;5;6;8;15;0;14;3;21;4;5;2;16;11;10;1;8;7;26
"Nestanovanjske stavbe";"2019";39;0;30;29;23;4;6;9;12;3;7;20;21;5;109;9;56;8;18;12;20;8;28;0;50;3;5;1;10;3;7;11;1;15;39;7;16;16;7;12;3;59;13;11;5;13;7;26;0;6;9;2;31;5;14;42;0;0;0;3;13;5;20;6;1;42;2;20;5;7;1;14;4;6;16;48;2;4;25;42;43;16;62;5;52;2;14;5;10;5;2;14;4;11;77;21;4;13;25;3;9;8;21;27;5;23;9;27;13;48;7;5;19;32;105;12;15;42;1;8;5;22;12;0;1;9;11;30;9;1;4;23;25;26;13;25;15;9;2;1;6;8;29;11;39;13;9;13;13;17;68;4;23;101;63;9;1;5;20;17;17;14;3;37;32;16;3;9;5;7;57;64;19;22;13;6;62;17;16;6;31;4;2;17;15;3;75;1;5;0;12;50;11;7;7;5;7;5;8;29;6;4;7;1;3;24;28;7;1;3;2;30
"Nestanovanjske stavbe";"2020";46;0;23;38;26;4;4;0;5;3;10;18;3;2;85;12;40;5;17;10;19;7;22;5;26;4;1;0;2;8;3;8;3;17;38;4;22;6;6;7;0;70;12;8;6;23;6;29;0;3;3;10;21;10;22;48;0;2;0;1;15;1;12;10;4;30;7;6;5;6;3;13;15;2;30;15;6;8;26;65;42;10;63;12;55;1;17;5;11;3;4;5;1;15;59;14;25;11;39;0;21;5;10;20;9;26;9;29;27;41;12;5;8;16;116;9;21;27;0;6;0;27;12;2;4;22;20;26;5;0;3;14;13;35;4;31;16;17;2;7;6;0;32;1;30;8;5;13;5;17;41;14;50;92;43;12;1;3;9;14;29;15;9;30;14;2;7;1;6;2;25;48;18;29;6;1;37;25;9;7;28;4;11;19;20;11;68;2;3;5;9;60;7;2;10;9;14;4;5;31;5;14;7;1;0;16;34;4;1;5;5;24
